Country,Datetime,Tweet Id,Text,Username,Tweets_clean,VADER_class,VADER_score
Mexico,2022-12-01 02:39:03+00:00,1598144616393740288,"Mexico is OUT of the World Cup. I predicted that they would not make it out of the Group Stage. Finishing third behind the United States and Canada in qualifying said something. #Mex #ElTri #FIFAWorldCup 
#FIFAWorldCup2022 #FIFAWorldCupQatar2022
https://t.co/9aHPrq4aSy",BearManofTX,is out of the world cup i that they would not make it group stage finishing third behind united and canada in said something fifaworldcup2022 fifaworldcupqatar2022,Neutral,0.4215
Mexico,2022-12-01 02:32:35+00:00,1598142989016399872,"Saudi Arabia beat Argentina, Argentina beat Mexico and Mexico beat Saudi Arabia. Circle complete. #FIFAWorldCup",JiteshKS,beat and circle complete,Neutral,0.0
Mexico,2022-12-01 02:28:12+00:00,1598141887738699777,Argentina and Poland survive group C! 🤯 —————————————————- #wc2022 #qatar2022 #fifaworldcup #worldcup #poland #argentina #mexico #saudiarabia - https://t.co/F7WkAAoYym https://t.co/NP945TPC3c,sport_nft_card,and survive group c 🤯 ————————————————— wc2022 qatar2022,Neutral,0.0
Mexico,2022-12-01 02:27:09+00:00,1598141623476813824,"Szczęsny made 2 more saves in the second to make it 11 SAVES in total for the day and send Poland to the last 16, edging Mexico on goal difference. #POLARG #FIFAWorldCup  #Qatar2022  #AFC",iggymaz,made 2 more in the second to make it 11 total for day and send last 16 edging on goal difference qatar2022,Neutral,0.0
Mexico,2022-12-01 02:12:10+00:00,1598137850310295552,"@AfcDhanieyel @FIFAWorldCup how they play so badly , got a upset , defeat both mexico and poland by 2-0 , top the group",HarshDevSharm10,how they play so badly got a upset defeat both and by 20 top the group,Negative,-0.75
Mexico,2022-12-01 02:06:27+00:00,1598136412985266177,"“It’s a great sadness and I assume responsibility for this huge failure.” said Mexico coach Gerardo Martino.

#theSun #theSundaily #Mexico #SaudiArabia #FIFAWorldCup #Qatar2022

Keep up to date with the tournament at: https://t.co/sYJB7WjEHl https://t.co/JQSLP5MGiS",theSundaily,“ it ’ s a great sadness and i assume responsibility for this huge failure ” said coach qatar2022 keep up to date with the tournament at,Neutral,0.1343
Mexico,2022-12-01 02:05:25+00:00,1598136152409575424,"#FIFAWorldCup| #Mexico beat #SaudiArabia but miss out on last 16. 
Mexico finished with four points, level with #Poland who lost 2-0 to group winners #Argentina and had a superior goal difference of one to advance

 https://t.co/D70AE7a9Zk",bijugovind,beat but miss out on last 16 finished with four level who lost 20 to group and had a superior goal difference of one advance,Neutral,0.2263
Mexico,2022-12-01 02:02:50+00:00,1598135503752396800,@Kromahm10 @FIFAWorldCup Yes xd And mexico deserved XDD,JMolski,kromahm10 yes and deserved,Neutral,0.4019
Mexico,2022-12-01 01:57:03+00:00,1598134049272627200,"Here are last night’s results for #WorldCup - Group Stage (Group C and Group D)

Tunisia (#TUN) 1 - 0 France (#FRA) 
Australia (#AUS) 1 - 0 Denmark (#DEN) 
Poland (#POL) 0 - 2 Argentina (#ARG) 
Saudi Arabia (#KSA) 1 - 2 Mexico (#MEX) 

👏🏼👏🏼 #FIFAWorldCup  #Qatar2022 https://t.co/tR4gqecMgi",syok_malaysia,here are last night ’ s for group stage c and d tun 1 0 fra den pol 2 👏🏼👏🏼 qatar2022,Neutral,0.0
Mexico,2022-12-01 01:50:32+00:00,1598132407487459328,🔴 #FIFAWorldCup : Mexico beat Saudi Arabia 2-1; Argentina beat Poland 2-0. Argentina and Poland qualify for Round of 16. #TNI #TheNewsInsight,TNITweet,🔴 beat 21 20 and qualify for round of 16,Neutral,0.0
Mexico,2022-12-01 01:50:14+00:00,1598132330165510144,"Mexico, Denmark, Costa rica*, South Korea* and Uruguay* have been disappointing in this World Cup.

* - still in the contention for Ro16.
Germany and Belgium will also join this list if they don't qualify.

#FIFAWorldCup",MaharjanSamraat,costa south and have been disappointing in this world cup still the contention for ro16 will also join list if they dont qualify,Neutral,-0.25
